snapshot_date,ticker,issuer_name,sector,subsector,universe_rank,current_tradeable,production_actionable,data_quality_state,liquidity_state,selection_reason,membership_state,runtime_ranking_eligible
2026-09-09,PGJO,PT Bahtera Bumi Raya Tbk,Teknologi,Perangkat Lunak & Jasa TI,553,true,true,AVAILABLE,ACTIVE_60D,TOP900_TRADEABLE_COMPOSITE,CURRENT_TOP900_NOT_HISTORICAL,true
2026-09-09,FLMC,PT Falmaco Nonwoven Industri Tbk,Barang Konsumen Primer,Produk Rumah Tangga Tidak Tahan Lama,554,true,true,AVAILABLE,ACTIVE_60D,TOP900_TRADEABLE_COMPOSITE,CURRENT_TOP900_NOT_HISTORICAL,true
2026-09-09,HYGN,PT Ecocare Indo Pasifik Tbk.,Perindustrian,Jasa Perindustrian,555,true,true,AVAILABLE,ACTIVE_60D,TOP900_TRADEABLE_COMPOSITE,CURRENT_TOP900_NOT_HISTORICAL,true
2026-09-09,LPCK,Lippo Cikarang Tbk,Properti & Real Estat,Properti & Real Estat,556,true,true,AVAILABLE,ACTIVE_60D,TOP900_TRADEABLE_COMPOSITE,CURRENT_TOP900_NOT_HISTORICAL,true
2026-09-09,BSIM,Bank Sinarmas Tbk,Keuangan,Bank,557,true,true,AVAILABLE,ACTIVE_60D,TOP900_TRADEABLE_COMPOSITE,CURRENT_TOP900_NOT_HISTORICAL,true
2026-09-09,SRAJ,Sejahteraraya Anugrahjaya Tbk,Kesehatan,Jasa & Peralatan Kesehatan,558,true,true,AVAILABLE,ACTIVE_60D,TOP900_TRADEABLE_COMPOSITE,CURRENT_TOP900_NOT_HISTORICAL,true
2026-09-09,IKAI,Intikeramik Alamasri Industri Tbk,Perindustrian,Barang Perindustrian,559,true,true,AVAILABLE,ACTIVE_60D,TOP900_TRADEABLE_COMPOSITE,CURRENT_TOP900_NOT_HISTORICAL,true
2026-09-09,FITT,PT Fortune Resources Investment Tbk,Barang Konsumen Non-Primer,Jasa Konsumen,560,true,true,AVAILABLE,ACTIVE_60D,TOP900_TRADEABLE_COMPOSITE,CURRENT_TOP900_NOT_HISTORICAL,true
2026-09-09,JECC,Jembo Cable Company Tbk,Perindustrian,Barang Perindustrian,561,true,true,AVAILABLE,ACTIVE_60D,TOP900_TRADEABLE_COMPOSITE,CURRENT_TOP900_NOT_HISTORICAL,true
2026-09-09,WIDI,PT Widiant Jaya Krenindo Tbk.,Perindustrian,Barang Perindustrian,562,true,true,AVAILABLE,ACTIVE_60D,TOP900_TRADEABLE_COMPOSITE,CURRENT_TOP900_NOT_HISTORICAL,true
2026-09-09,HBAT,PT Minahasa Membangun Hebat Tbk,Properti & Real Estat,Properti & Real Estat,563,true,true,AVAILABLE,ACTIVE_60D,TOP900_TRADEABLE_COMPOSITE,CURRENT_TOP900_NOT_HISTORICAL,true
2026-09-09,DGNS,PT Diagnos Laboratorium Utama Tbk,Kesehatan,Jasa & Peralatan Kesehatan,564,true,true,AVAILABLE,ACTIVE_60D,TOP900_TRADEABLE_COMPOSITE,CURRENT_TOP900_NOT_HISTORICAL,true
2026-09-09,BMBL,PT Lavender Bina Cendikia Tbk,Barang Konsumen Non-Primer,Jasa Konsumen,565,true,true,AVAILABLE,ACTIVE_60D,TOP900_TRADEABLE_COMPOSITE,CURRENT_TOP900_NOT_HISTORICAL,true
2026-09-09,NELY,Pelayaran Nelly Dwi Putri Tbk,Transportasi & Logistik,Logistik & Pengantaran,566,true,true,AVAILABLE,ACTIVE_60D,TOP900_TRADEABLE_COMPOSITE,CURRENT_TOP900_NOT_HISTORICAL,true
2026-09-09,PZZA,PT Sarimelati Kencana Tbk.,Barang Konsumen Non-Primer,Jasa Konsumen,567,true,true,AVAILABLE,ACTIVE_60D,TOP900_TRADEABLE_COMPOSITE,CURRENT_TOP900_NOT_HISTORICAL,true
2026-09-09,PMJS,PT Putra Mandiri Jembar Tbk,Barang Konsumen Non-Primer,Perdagangan Ritel,568,true,true,AVAILABLE,ACTIVE_60D,TOP900_TRADEABLE_COMPOSITE,CURRENT_TOP900_NOT_HISTORICAL,true
2026-09-09,ALKA,Alakasa Industrindo Tbk,Barang Baku,Barang Baku,569,true,true,AVAILABLE,ACTIVE_60D,TOP900_TRADEABLE_COMPOSITE,CURRENT_TOP900_NOT_HISTORICAL,true
2026-09-09,COAL,PT Black Diamond Resources Tbk,Energi,"Minyak, Gas & Batu Bara",570,true,true,AVAILABLE,SPORADIC_60D,TOP900_TRADEABLE_COMPOSITE,CURRENT_TOP900_NOT_HISTORICAL,true
2026-09-09,ARGO,Argo Pantes Tbk,Properti & Real Estat,Properti & Real Estat,571,true,true,AVAILABLE,ACTIVE_60D,TOP900_TRADEABLE_COMPOSITE,CURRENT_TOP900_NOT_HISTORICAL,true
2026-09-09,BISI,BISI INTERNATIONAL Tbk,Barang Konsumen Primer,Makanan & Minuman,572,true,true,AVAILABLE,ACTIVE_60D,TOP900_TRADEABLE_COMPOSITE,CURRENT_TOP900_NOT_HISTORICAL,true
2026-09-09,BNLI,Bank Permata Tbk,Keuangan,Bank,573,true,true,AVAILABLE,ACTIVE_60D,TOP900_TRADEABLE_COMPOSITE,CURRENT_TOP900_NOT_HISTORICAL,true
2026-09-09,AKSI,PT Mineral Sumberdaya Mandiri Tbk,Transportasi & Logistik,Logistik & Pengantaran,574,true,true,AVAILABLE,ACTIVE_60D,TOP900_TRADEABLE_COMPOSITE,CURRENT_TOP900_NOT_HISTORICAL,true
2026-09-09,AGAR,PT Asia Sejahtera Mina Tbk,Barang Konsumen Primer,Makanan & Minuman,575,true,true,AVAILABLE,ACTIVE_60D,TOP900_TRADEABLE_COMPOSITE,CURRENT_TOP900_NOT_HISTORICAL,true
2026-09-09,DNAR,PT Bank Oke Indonesia Tbk.,Keuangan,Bank,576,true,true,AVAILABLE,ACTIVE_60D,TOP900_TRADEABLE_COMPOSITE,CURRENT_TOP900_NOT_HISTORICAL,true
2026-09-09,UNIC,Unggul Indah Cahaya Tbk,Barang Baku,Barang Baku,577,true,true,AVAILABLE,ACTIVE_60D,TOP900_TRADEABLE_COMPOSITE,CURRENT_TOP900_NOT_HISTORICAL,true
2026-09-09,SEMA,PT Semacom Integrated Tbk,Energi,Energi Alternatif,578,true,true,AVAILABLE,ACTIVE_60D,TOP900_TRADEABLE_COMPOSITE,CURRENT_TOP900_NOT_HISTORICAL,true
2026-09-09,PNBS,PT Bank Panin Dubai Syariah Tbk.,Keuangan,Bank,579,true,true,AVAILABLE,ACTIVE_60D,TOP900_TRADEABLE_COMPOSITE,CURRENT_TOP900_NOT_HISTORICAL,true
2026-09-09,IPOL,Indopoly Swakarsa Industry Tbk,Barang Baku,Barang Baku,580,true,true,AVAILABLE,ACTIVE_60D,TOP900_TRADEABLE_COMPOSITE,CURRENT_TOP900_NOT_HISTORICAL,true
2026-09-09,KING,PT Hoffmen Cleanindo Tbk,Perindustrian,Jasa Perindustrian,581,true,true,AVAILABLE,ACTIVE_60D,TOP900_TRADEABLE_COMPOSITE,CURRENT_TOP900_NOT_HISTORICAL,true
2026-09-09,KBLI,KMI Wire and Cable Tbk,Perindustrian,Barang Perindustrian,582,true,true,AVAILABLE,ACTIVE_60D,TOP900_TRADEABLE_COMPOSITE,CURRENT_TOP900_NOT_HISTORICAL,true
2026-09-09,MCOR,PT Bank China Construction Bank Indonesia Tbk,Keuangan,Bank,583,true,true,AVAILABLE,ACTIVE_60D,TOP900_TRADEABLE_COMPOSITE,CURRENT_TOP900_NOT_HISTORICAL,true
2026-09-09,TRUS,Trust Finance Indonesia Tbk,Keuangan,Jasa Pembiayaan,584,true,true,AVAILABLE,ACTIVE_60D,TOP900_TRADEABLE_COMPOSITE,CURRENT_TOP900_NOT_HISTORICAL,true
2026-09-09,BEKS,PT Bank Pembangunan Daerah Banten Tbk.,Keuangan,Bank,585,true,true,AVAILABLE,ACTIVE_60D,TOP900_TRADEABLE_COMPOSITE,CURRENT_TOP900_NOT_HISTORICAL,true
2026-09-09,KREN,PT Quantum Clovera Investama Tbk.,Teknologi,Perangkat Lunak & Jasa TI,586,true,true,AVAILABLE,ACTIVE_60D,TOP900_TRADEABLE_COMPOSITE,CURRENT_TOP900_NOT_HISTORICAL,true
2026-09-09,KSIX,PT Kentanix Supra International Tbk,Properti & Real Estat,Properti & Real Estat,587,true,true,AVAILABLE,ACTIVE_60D,TOP900_TRADEABLE_COMPOSITE,CURRENT_TOP900_NOT_HISTORICAL,true
2026-09-09,BHIT,PT MNC Asia Holding Tbk,Perindustrian,Perusahaan Holding Multi Sektor,588,true,true,AVAILABLE,ACTIVE_60D,TOP900_TRADEABLE_COMPOSITE,CURRENT_TOP900_NOT_HISTORICAL,true
2026-09-09,BATR,PT Benteng Api Technic Tbk,Barang Baku,Barang Baku,589,true,true,AVAILABLE,ACTIVE_60D,TOP900_TRADEABLE_COMPOSITE,CURRENT_TOP900_NOT_HISTORICAL,true
2026-09-09,AEGS,PT Anugerah Spareparts Sejahtera Tbk.,Barang Konsumen Non-Primer,Otomotif & Komponen Otomotif,590,true,true,AVAILABLE,ACTIVE_60D,TOP900_TRADEABLE_COMPOSITE,CURRENT_TOP900_NOT_HISTORICAL,true
2026-09-09,GTRA,PT Grahaprima Suksesmandiri Tbk,Transportasi & Logistik,Logistik & Pengantaran,591,true,true,AVAILABLE,ACTIVE_60D,TOP900_TRADEABLE_COMPOSITE,CURRENT_TOP900_NOT_HISTORICAL,true
2026-09-09,YPAS,Yanaprima Hastapersada Tbk,Barang Baku,Barang Baku,592,true,true,AVAILABLE,ACTIVE_60D,TOP900_TRADEABLE_COMPOSITE,CURRENT_TOP900_NOT_HISTORICAL,true
2026-09-09,OLIV,PT Atlas Nexus Group Tbk,Barang Konsumen Non-Primer,Barang Rumah Tangga,593,true,true,AVAILABLE,ACTIVE_60D,TOP900_TRADEABLE_COMPOSITE,CURRENT_TOP900_NOT_HISTORICAL,true
2026-09-09,GGRP,PT Gunung Raja Paksi Tbk.,Barang Baku,Barang Baku,594,true,true,AVAILABLE,ACTIVE_60D,TOP900_TRADEABLE_COMPOSITE,CURRENT_TOP900_NOT_HISTORICAL,true
2026-09-09,AIMS,PT Artha Mahiya Investama Tbk,Energi,"Minyak, Gas & Batu Bara",595,true,true,AVAILABLE,ACTIVE_60D,TOP900_TRADEABLE_COMPOSITE,CURRENT_TOP900_NOT_HISTORICAL,true
2026-09-09,CSRA,PT Cisadane Sawit Raya Tbk.,Barang Konsumen Primer,Makanan & Minuman,596,true,true,AVAILABLE,ACTIVE_60D,TOP900_TRADEABLE_COMPOSITE,CURRENT_TOP900_NOT_HISTORICAL,true
2026-09-09,SDRA,PT Bank Woori Saudara Indonesia 1906 Tbk,Keuangan,Bank,597,true,true,AVAILABLE,ACTIVE_60D,TOP900_TRADEABLE_COMPOSITE,CURRENT_TOP900_NOT_HISTORICAL,true
2026-09-09,WINE,PT Hatten Bali Tbk,Barang Konsumen Primer,Makanan & Minuman,598,true,true,AVAILABLE,ACTIVE_60D,TOP900_TRADEABLE_COMPOSITE,CURRENT_TOP900_NOT_HISTORICAL,true
