ticker,sector,universe_source
AMAN,Properties & Real Estate,LEGACY_400
APLN,Properties & Real Estate,LEGACY_400
ASPI,Properties & Real Estate,LEGACY_400
ASRI,Properties & Real Estate,LEGACY_400
ATAP,Properties & Real Estate,LEGACY_400
BAPI,Properties & Real Estate,LEGACY_400
BBSS,Properties & Real Estate,LEGACY_400
BCIP,Properties & Real Estate,LEGACY_400
BEST,Properties & Real Estate,LEGACY_400
BIPP,Properties & Real Estate,LEGACY_400
BKDP,Properties & Real Estate,LEGACY_400
BKSL,Properties & Real Estate,LEGACY_400
BSBK,Properties & Real Estate,LEGACY_400
CITY,Properties & Real Estate,LEGACY_400
CSIS,Properties & Real Estate,LEGACY_400
DADA,Properties & Real Estate,LEGACY_400
DILD,Properties & Real Estate,LEGACY_400
DMAS,Properties & Real Estate,LEGACY_400
DUTI,Properties & Real Estate,LEGACY_400
ELTY,Properties & Real Estate,LEGACY_400
EMDE,Properties & Real Estate,LEGACY_400
FMII,Properties & Real Estate,LEGACY_400
GMTD,Properties & Real Estate,LEGACY_400
GPRA,Properties & Real Estate,LEGACY_400
GRIA,Properties & Real Estate,LEGACY_400
HBAT,Properties & Real Estate,LEGACY_400
HOMI,Properties & Real Estate,LEGACY_400
INPP,Properties & Real Estate,LEGACY_400
IPAC,Properties & Real Estate,LEGACY_400
JRPT,Properties & Real Estate,LEGACY_400
KBAG,Properties & Real Estate,LEGACY_400
KIJA,Properties & Real Estate,LEGACY_400
KOCI,Properties & Real Estate,LEGACY_400
LAND,Properties & Real Estate,LEGACY_400
LPCK,Properties & Real Estate,LEGACY_400
LPLI,Properties & Real Estate,LEGACY_400
MMLP,Properties & Real Estate,LEGACY_400
MSIE,Properties & Real Estate,LEGACY_400
MTLA,Properties & Real Estate,LEGACY_400
MTSM,Properties & Real Estate,LEGACY_400
NZIA,Properties & Real Estate,LEGACY_400
PAMG,Properties & Real Estate,LEGACY_400
PLIN,Properties & Real Estate,LEGACY_400
POLI,Properties & Real Estate,LEGACY_400
PURI,Properties & Real Estate,LEGACY_400
RBMS,Properties & Real Estate,LEGACY_400
REAL,Properties & Real Estate,LEGACY_400
RELF,Properties & Real Estate,LEGACY_400
RISE,Properties & Real Estate,LEGACY_400
ROCK,Properties & Real Estate,LEGACY_400
RODA,Properties & Real Estate,LEGACY_400
SAGE,Properties & Real Estate,LEGACY_400
SATU,Properties & Real Estate,LEGACY_400
SMDM,Properties & Real Estate,LEGACY_400
SMRA,Properties & Real Estate,LEGACY_400
UANG,Properties & Real Estate,LEGACY_400
URBN,Properties & Real Estate,LEGACY_400
VAST,Properties & Real Estate,LEGACY_400
WINR,Properties & Real Estate,LEGACY_400
AREA,Technology,LEGACY_400
ATIC,Technology,LEGACY_400
AWAN,Technology,LEGACY_400
AXIO,Technology,LEGACY_400
CASH,Technology,LEGACY_400
CHIP,Technology,LEGACY_400
CYBR,Technology,LEGACY_400
DIVA,Technology,LEGACY_400
DMMX,Technology,LEGACY_400
ELIT,Technology,LEGACY_400
GLVA,Technology,LEGACY_400
HDIT,Technology,LEGACY_400
IOTF,Technology,LEGACY_400
IRSX,Technology,LEGACY_400
JATI,Technology,LEGACY_400
KIOS,Technology,LEGACY_400
KREN,Technology,LEGACY_400
LUCK,Technology,LEGACY_400
MCAS,Technology,LEGACY_400
MPIX,Technology,LEGACY_400
MSTI,Technology,LEGACY_400
MTDL,Technology,LEGACY_400
NFCX,Technology,LEGACY_400
PGJO,Technology,LEGACY_400
PTSN,Technology,LEGACY_400
RUNS,Technology,LEGACY_400
TFAS,Technology,LEGACY_400
TOSK,Technology,LEGACY_400
TRON,Technology,LEGACY_400
UVCR,Technology,LEGACY_400
WGSH,Technology,LEGACY_400
WIFI,Technology,LEGACY_400
WIRG,Technology,LEGACY_400
ZYRX,Technology,LEGACY_400
ASLI,Infrastructures,LEGACY_400
BALI,Infrastructures,LEGACY_400
BDKR,Infrastructures,LEGACY_400
CMNP,Infrastructures,LEGACY_400
DATA,Infrastructures,LEGACY_400
DGIK,Infrastructures,LEGACY_400
FIMP,Infrastructures,LEGACY_400
GHON,Infrastructures,LEGACY_400
GOLD,Infrastructures,LEGACY_400
HADE,Infrastructures,LEGACY_400
IBST,Infrastructures,LEGACY_400
IDPR,Infrastructures,LEGACY_400
INET,Infrastructures,LEGACY_400
IPCM,Infrastructures,LEGACY_400
JAST,Infrastructures,LEGACY_400
JKON,Infrastructures,LEGACY_400
KARW,Infrastructures,LEGACY_400
KEEN,Infrastructures,LEGACY_400
KETR,Infrastructures,LEGACY_400
KOKA,Infrastructures,LEGACY_400
MANG,Infrastructures,LEGACY_400
META,Infrastructures,LEGACY_400
MPOW,Infrastructures,LEGACY_400
MTPS,Infrastructures,LEGACY_400
NRCA,Infrastructures,LEGACY_400
PORT,Infrastructures,LEGACY_400
POWR,Infrastructures,LEGACY_400
PPRE,Infrastructures,LEGACY_400
PTPP,Infrastructures,LEGACY_400
PTPW,Infrastructures,LEGACY_400
SMKM,Infrastructures,LEGACY_400
SSIA,Infrastructures,LEGACY_400
TAMA,Infrastructures,LEGACY_400
TOTL,Infrastructures,LEGACY_400
WEGE,Infrastructures,LEGACY_400
BBCA,UNKNOWN,IDX_ACTIVE_LIQUIDITY_ADD
DSSA,UNKNOWN,IDX_ACTIVE_LIQUIDITY_ADD
TPIA,UNKNOWN,IDX_ACTIVE_LIQUIDITY_ADD
BUMI,UNKNOWN,IDX_ACTIVE_LIQUIDITY_ADD
BBRI,UNKNOWN,IDX_ACTIVE_LIQUIDITY_ADD
BMRI,UNKNOWN,IDX_ACTIVE_LIQUIDITY_ADD
CUAN,UNKNOWN,IDX_ACTIVE_LIQUIDITY_ADD
ANTM,UNKNOWN,IDX_ACTIVE_LIQUIDITY_ADD
BRMS,UNKNOWN,IDX_ACTIVE_LIQUIDITY_ADD
ASII,UNKNOWN,IDX_ACTIVE_LIQUIDITY_ADD
AMMN,UNKNOWN,IDX_ACTIVE_LIQUIDITY_ADD
PTRO,UNKNOWN,IDX_ACTIVE_LIQUIDITY_ADD
TLKM,UNKNOWN,IDX_ACTIVE_LIQUIDITY_ADD
DEWA,UNKNOWN,IDX_ACTIVE_LIQUIDITY_ADD
EMAS,UNKNOWN,IDX_ACTIVE_LIQUIDITY_ADD
TINS,UNKNOWN,IDX_ACTIVE_LIQUIDITY_ADD
BRPT,UNKNOWN,IDX_ACTIVE_LIQUIDITY_ADD
ISAT,UNKNOWN,IDX_ACTIVE_LIQUIDITY_ADD
KOTA,UNKNOWN,IDX_ACTIVE_LIQUIDITY_ADD
BNBR,UNKNOWN,IDX_ACTIVE_LIQUIDITY_ADD
BBNI,UNKNOWN,IDX_ACTIVE_LIQUIDITY_ADD
BREN,UNKNOWN,IDX_ACTIVE_LIQUIDITY_ADD
MDKA,UNKNOWN,IDX_ACTIVE_LIQUIDITY_ADD
ENRG,UNKNOWN,IDX_ACTIVE_LIQUIDITY_ADD
AADI,UNKNOWN,IDX_ACTIVE_LIQUIDITY_ADD
UNTR,UNKNOWN,IDX_ACTIVE_LIQUIDITY_ADD
ADRO,UNKNOWN,IDX_ACTIVE_LIQUIDITY_ADD
ARCI,UNKNOWN,IDX_ACTIVE_LIQUIDITY_ADD
VKTR,UNKNOWN,IDX_ACTIVE_LIQUIDITY_ADD
JGLE,UNKNOWN,IDX_ACTIVE_LIQUIDITY_ADD
BIPI,UNKNOWN,IDX_ACTIVE_LIQUIDITY_ADD
MEDC,UNKNOWN,IDX_ACTIVE_LIQUIDITY_ADD
BUVA,UNKNOWN,IDX_ACTIVE_LIQUIDITY_ADD
MBMA,UNKNOWN,IDX_ACTIVE_LIQUIDITY_ADD
ADMR,UNKNOWN,IDX_ACTIVE_LIQUIDITY_ADD
